task,model,device,batch_size,steps,amp,channels_last,compile,throughput_img_s,p50_ms,p95_ms,mean_ms
inference,resnet50,cuda,1,120,False,False,False,166.82607111107862,5.6960320472717285,8.397343635559082,5.994266923268636
inference,resnet50,cuda,2,120,False,False,False,285.2190701102391,6.921919822692871,7.340832233428955,7.0121538480122885
inference,resnet50,cuda,4,120,False,False,False,317.03811733008695,12.545215606689453,13.236224174499512,12.616779438654582
inference,resnet50,cuda,8,120,False,False,False,328.21037065100325,24.331520080566406,25.067520141601562,24.374610662460327
inference,resnet50,cuda,16,120,False,False,False,371.99174754349696,43.05958557128906,43.837440490722656,43.01170686086019
inference,resnet50,cuda,32,120,False,False,False,386.0758010276498,82.98908996582031,84.104736328125,82.88527774810791
inference,resnet50,cuda,64,120,False,False,False,391.21650254156054,163.69033813476562,165.999267578125,163.592280960083
inference,resnet50,cuda,128,120,False,False,False,373.37277152232156,343.3169860839844,354.9681091308594,342.8209279378255
inference,resnet50,cuda,1,120,True,True,True,224.93710275399468,4.24345588684082,5.253119945526123,4.445687206586202
inference,resnet50,cuda,2,120,True,True,True,427.8182720670084,4.40934419631958,5.716608047485352,4.674882141749064
inference,resnet50,cuda,4,120,True,True,True,871.8110550241173,4.456768035888672,5.601056098937988,4.588150123755137
inference,resnet50,cuda,8,120,True,True,True,1172.5216283525,6.804671764373779,7.050367832183838,6.822901860872904
inference,resnet50,cuda,16,120,True,True,True,1322.7655535251818,12.080960273742676,12.318655967712402,12.095869867006938
inference,resnet50,cuda,32,120,True,True,True,1418.2183179653207,22.179840087890625,24.401952743530273,22.56352184613546
inference,resnet50,cuda,64,120,True,True,True,1416.0833009371745,45.28876876831055,46.76201629638672,45.19508136113485
inference,resnet50,cuda,128,120,True,True,True,1380.2524795390989,92.66226959228516,95.93583679199219,92.736656443278
